4,84
4,85
4,86
4,87
4,89
4,90
4,91
4,94
5,95
5,96
5,98
5,99
5,104
8,130
8,131
8,132
8,133
8,134
8,135
8,136
8,137
8,138
8,139
8,140
8,141
8,142
13,203
13,204
13,205
13,207
13,211
14,212
16,240
16,242
16,243
16,244
16,246
16,249
16,252
16,254
16,257
17,258
17,259
17,261
17,262
17,263
17,264
17,265
17,266
17,267
17,268
17,269
17,271
17,272
17,273
17,274
18,275
18,276
18,277
18,280
18,281
18,283
18,284
18,287
20,310
23,385
23,386
23,389
23,390
23,391
23,393
23,395
23,396
23,397
23,398
23,401
23,402
23,404
27,438
27,439
27,440
27,441
27,442
27,447
1,45052
2,45053
3,73
3,74
3,75
3,76
3,77
3,78
3,79
3,80
3,81
3,82
3,83
6,107
6,108
6,109
6,110
6,111
6,112
6,113
6,114
6,115
6,116
6,117
6,118
6,119
6,120
7,121
7,122
7,123
7,124
7,125
7,126
7,127
7,128
7,129
9,45055
10,162
10,163
10,164
10,165
10,166
10,167
10,168
10,169
10,170
10,171
10,172
10,173
10,174
11,175
11,176
11,177
11,178
11,179
11,180
11,181
11,182
11,183
11,184
11,185
12,186
12,187
12,188
12,189
12,190
12,191
12,192
12,193
12,194
12,195
12,196
12,197
12,198
12,199
12,200
12,201
12,202
15,223
15,224
15,225
15,226
15,227
15,228
15,229
15,230
15,231
15,232
15,233
15,234
15,235
15,236
15,237
15,238
15,239
19,289
19,290
19,291
19,292
19,293
19,294
19,295
19,296
19,297
19,298
19,299
19,300
19,301
19,302
19,303
19,304
19,305
19,306
19,307
19,308
19,309
22,45054
