"17","4","15","12","10","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","3","3","7","2","6","4","4","10","6","5","2","2","8","9","0"
"22","4","10","6","14","8","6","1","1","0","0","1","1","1","0","1","0"
"28","0","0","1","3","0","0","0","0","0","0","3","1","0","3","4","6"
"46","0","0","0","0","0","0","0","1","1","4","1","4","0","0","0","1"
"51","2","0","0","1","0","2","1","2","3","2","0","0","0","0","3","0"
"59","0","0","1","8","10","11","13","13","12","15","9","10","3","13","12","13"
"62","0","0","0","0","0","4","0","3","1","3","3","0","0","0","0","0"
"76","0","5","6","0","2","3","0","2","1","0","0","2","2","0","0","0"
"83","0","2","3","0","3","8","14","9","4","6","3","2","4","0","4","9"
"105","0","7","0","13","4","8","6","1","0","0","1","1","0","0","0","0"
"113","0","0","0","6","1","1","3","2","0","0","0","0","0","2","0","0"
"158","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","2"
"161","0","1","1","15","1","0","0","0","0","0","0","0","0","1","0","2"
"165","0","1","0","17","77","22","75","121","176","147","251","207","227","103","7","2"
"202","0","0","0","12","6","3","0","1","0","0","0","0","0","0","0","0"
"237","0","0","0","4","0","19","13","29","31","16","61","59","34","30","33","31"
"248","0","0","0","0","0","1","0","3","9","10","8","6","7","12","12","23"
"256","0","0","0","0","0","0","2","1","2","0","2","0","0","2","5","9"
"257","0","1","0","0","0","0","2","4","0","0","0","0","0","0","1","1"
"261","0","0","0","0","0","0","3","12","4","3","2","6","5","3","11","12"
"265","0","0","0","0","0","0","0","0","0","0","5","6","2","2","1","0"
"266","0","1","0","0","0","0","0","0","0","0","1","1","8","6","3","2"
"267","0","0","0","0","0","0","0","1","0","1","1","1","0","0","4","0"
"270","0","0","0","0","0","0","0","0","0","0","1","1","1","5","4","4"
"273","0","0","1","0","1","1","1","3","3","7","13","13","4","6","15","18"
"275","0","1","0","3","0","1","1","3","6","4","8","6","1","2","0","1"
"276","0","0","0","0","0","0","0","1","0","1","5","1","3","5","9","2"
"279","0","0","0","1","0","1","1","1","5","1","2","1","1","1","4","2"
"282","0","0","0","1","0","2","6","7","5","7","11","14","10","9","29","18"
"283","0","0","0","0","0","0","0","0","2","0","3","2","2","3","1","4"
"284","0","0","0","0","0","3","3","4","5","2","16","23","8","4","10","9"
"286","0","0","0","0","0","0","0","5","2","1","0","1","0","0","0","1"
"289","0","0","0","2","0","0","0","1","0","0","1","0","0","1","8","11"
